Ref,Val,Package,PosX,PosY,Rot,Side
"D1","BAT54S","D_SOT-23_ANK",182.540000,-123.680000,90.000000,top
"D2","BAT54S","D_SOT-23_ANK",182.600000,-90.960000,90.000000,top
"RN2","10K_4xArray","R_Array_Convex_4x0402",122.550000,-101.108000,180.000000,top
"RN3","10K_4xArray","R_Array_Convex_4x0402",122.550000,-85.850000,180.000000,top
"RN4","10K_4xArray","R_Array_Convex_4x0402",122.550000,-106.194000,180.000000,top
"RN5","10K_4xArray","R_Array_Convex_4x0402",122.550000,-90.936000,180.000000,top
"RN6","10K_4xArray","R_Array_Convex_4x0402",122.550000,-111.280000,180.000000,top
"RN7","10K_4xArray","R_Array_Convex_4x0402",122.550000,-96.022000,180.000000,top
"U3","TVS_RCLAMP0524P-N","UDFN-10_1.35x2.6mm_P0.5mm",120.050000,-85.850000,0.000000,top
"U4","TVS_RCLAMP0524P-N","UDFN-10_1.35x2.6mm_P0.5mm",120.050000,-101.108000,0.000000,top
"U5","TVS_RCLAMP0524P-N","UDFN-10_1.35x2.6mm_P0.5mm",120.050000,-90.936000,0.000000,top
"U6","TVS_RCLAMP0524P-N","UDFN-10_1.35x2.6mm_P0.5mm",120.050000,-106.194000,0.000000,top
"U7","TVS_RCLAMP0524P-N","UDFN-10_1.35x2.6mm_P0.5mm",120.050000,-96.022000,0.000000,top
"U8","TVS_RCLAMP0524P-N","UDFN-10_1.35x2.6mm_P0.5mm",120.050000,-111.280000,0.000000,top
